timestamp,strategy,deployment,action,old_replica_count,new_replica_count,selected_node,selected_node_type,current_load_rps,avg_response_time_ms,reason,scaling_direction
5,LowPowerLongTimeBinPacker,resnet50-inference,scale_up,1,2,rpi3_3,rpi3,0.0,876.5516249936617,,1
5,LowPowerLongTimeBinPacker,speech-inference,no_action,1,1,,,2.4,0.0,Within thresholds,0
5,LowPowerLongTimeBinPacker,resnet50-preprocessing,no_action,1,1,,,0.8,0.0,Within thresholds,0
5,LowPowerLongTimeBinPacker,resnet50-training,scale_up,1,2,rpi3_3,rpi3,0.0,0.0,,1
5,LowPowerLongTimeBinPacker,python-pi,scale_up,1,2,rpi3_3,rpi3,0.0,1297.9757499830039,,1
5,LowPowerLongTimeBinPacker,fio,scale_up,1,2,rpi3_3,rpi3,0.0,0.0,,1
10,LowPowerLongTimeBinPacker,resnet50-inference,scale_up,2,3,rpi3_3,rpi3,0.0,0.0,,1
10,LowPowerLongTimeBinPacker,speech-inference,scale_up,1,2,rpi3_3,rpi3,0.0,0.0,,1
10,LowPowerLongTimeBinPacker,resnet50-preprocessing,no_action,1,1,,,1.6,0.0,Within thresholds,0
10,LowPowerLongTimeBinPacker,resnet50-training,scale_up,2,3,rpi3_3,rpi3,0.0,0.0,,1
10,LowPowerLongTimeBinPacker,python-pi,scale_up,2,3,rpi3_3,rpi3,0.0,0.0,,1
10,LowPowerLongTimeBinPacker,fio,scale_up,2,3,rpi3_3,rpi3,0.0,0.0,,1
15,LowPowerLongTimeBinPacker,resnet50-inference,scale_up,3,4,rpi3_3,rpi3,0.0,0.0,,1
15,LowPowerLongTimeBinPacker,speech-inference,scale_up,2,3,rpi3_3,rpi3,0.0,0.0,,1
15,LowPowerLongTimeBinPacker,resnet50-preprocessing,no_action,1,1,,,2.0,0.0,Within thresholds,0
15,LowPowerLongTimeBinPacker,resnet50-training,scale_up,3,4,rpi3_3,rpi3,0.0,0.0,,1
15,LowPowerLongTimeBinPacker,python-pi,scale_up,3,4,rpi3_3,rpi3,0.0,0.0,,1
15,LowPowerLongTimeBinPacker,fio,scale_up,3,4,rpi3_3,rpi3,0.0,0.0,,1
20,LowPowerLongTimeBinPacker,resnet50-inference,scale_up,4,5,rpi3_3,rpi3,0.0,0.0,,1
20,LowPowerLongTimeBinPacker,speech-inference,scale_up,3,4,rpi3_3,rpi3,0.0,0.0,,1
20,LowPowerLongTimeBinPacker,resnet50-preprocessing,no_action,1,1,,,2.0,0.0,Within thresholds,0
20,LowPowerLongTimeBinPacker,resnet50-training,scale_up,4,5,rpi3_3,rpi3,0.0,0.0,,1
20,LowPowerLongTimeBinPacker,python-pi,scale_up,4,5,rpi3_3,rpi3,0.0,0.0,,1
20,LowPowerLongTimeBinPacker,fio,scale_up,4,5,rpi3_3,rpi3,0.0,0.0,,1
25,LowPowerLongTimeBinPacker,resnet50-inference,scale_up,5,6,rpi3_3,rpi3,0.0,0.0,,1
