FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-16 16:11:02

Total deployment events: 970
Number of node-function combinations: 410

Event Type Summary:
  Deployment events: 9
  Replica events: 568
  Network events: 393

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | resnet50-inference        | deploy resnet50-inference
t=   0.0s | deployment | global               | resnet50-inference-downtown | deploy resnet50-inference-downtown
t=   0.0s | deployment | global               | resnet50-inference-suburb | deploy resnet50-inference-suburb
t=   0.0s | deployment | global               | speech-inference          | deploy speech-inference
t=   0.0s | deployment | global               | speech-inference-downtown | deploy speech-inference-downtown
t=   0.0s | deployment | global               | speech-inference-suburb   | deploy speech-inference-suburb
t=   0.0s | deployment | global               | resnet50-preprocessing    | deploy resnet50-preprocessing
t=   0.0s | deployment | global               | resnet50-preprocessing-downtown | deploy resnet50-preprocessing-downtown
t=   0.0s | deployment | global               | resnet50-training         | deploy resnet50-training
t=   0.0s | replica    | tx2_11               | resnet50-inference        | deploy replica of resnet50-inference
t=   1.0s | replica    | nano_12              | resnet50-inference-downtown | deploy replica of resnet50-inference-downtown
t=   2.0s | replica    | nano_21              | resnet50-inference-suburb | deploy replica of resnet50-inference-suburb
t=   2.0s | network    | registry → rpi4_0    | unknown                   | docker_pull (31.5 MB)
t=   2.1s | network    | registry → rockpi_18 | unknown                   | docker_pull (38.1 MB)
t=   2.2s | network    | registry → tx2_11    | unknown                   | docker_pull (95.4 MB)
t=   2.3s | network    | registry → nano_12   | unknown                   | docker_pull (95.4 MB)
t=   2.4s | network    | registry → nano_21   | unknown                   | docker_pull (95.4 MB)
t=   2.5s | network    | registry → nano_46   | unknown                   | docker_pull (95.4 MB)
t=   2.6s | network    | nuc_8 → rockpi_18    | unknown                   | data_download (45.8 MB)
t=   2.7s | network    | registry → rpi4_1    | unknown                   | docker_pull (130.7 MB)
t=   2.8s | network    | nuc_8 → rpi4_0       | unknown                   | data_download (45.8 MB)
t=   2.9s | network    | registry → coral_9   | unknown                   | docker_pull (182.2 MB)
t=   3.0s | replica    | rockpi_18            | speech-inference          | deploy replica of speech-inference
t=   3.0s | network    | nuc_8 → rockpi_18    | unknown                   | data_download (45.8 MB)
t=   3.1s | network    | nuc_8 → tx2_11       | unknown                   | data_download (98.2 MB)
t=   3.2s | network    | nuc_8 → nano_21      | unknown                   | data_download (98.2 MB)
t=   3.3s | network    | nuc_8 → nano_12      | unknown                   | data_download (98.2 MB)
t=   3.4s | network    | registry → rpi4_4    | unknown                   | docker_pull (31.5 MB)
t=   3.5s | network    | registry → rpi4_5    | unknown                   | docker_pull (31.5 MB)
t=   3.6s | network    | registry → coral_11  | unknown                   | docker_pull (38.1 MB)
t=   3.7s | network    | registry → tx2_0     | unknown                   | docker_pull (95.4 MB)
t=   3.8s | network    | registry → nx_4      | unknown                   | docker_pull (95.4 MB)
t=   3.9s | network    | registry → tx2_1     | unknown                   | docker_pull (95.4 MB)
t=   4.0s | replica    | rockpi_18            | speech-inference-downtown | deploy replica of speech-inference-downtown
t=   4.0s | network    | registry → nano_18   | unknown                   | docker_pull (95.4 MB)
t=   4.1s | network    | nuc_8 → nano_46      | unknown                   | data_download (55.3 MB)
t=   4.2s | network    | nuc_8 → nano_46      | unknown                   | data_download (55.3 MB)
t=   4.3s | network    | nuc_8 → nano_46      | unknown                   | data_download (55.3 MB)
t=   4.4s | network    | nuc_8 → nano_46      | unknown                   | data_download (55.3 MB)
t=   4.5s | network    | nuc_8 → rpi4_4       | unknown                   | data_download (45.8 MB)
t=   4.6s | network    | nuc_8 → rpi4_5       | unknown                   | data_download (45.8 MB)
t=   4.7s | network    | nuc_8 → coral_11     | unknown                   | data_download (45.8 MB)
t=   4.8s | network    | nuc_8 → nano_18      | unknown                   | data_download (55.3 MB)
t=   4.9s | network    | registry → rpi4_12   | unknown                   | docker_pull (31.5 MB)
