timestamp,strategy,deployment,action,old_replica_count,new_replica_count,selected_node,selected_node_type,current_load_rps,avg_response_time_ms,reason,scaling_direction
5,StandardFirstFitBinPacker,resnet50-inference,no_action,1,1,,,0.0,0.0,Within thresholds,0
5,StandardFirstFitBinPacker,resnet50-inference-downtown,no_action,1,1,,,0.0,0.0,Within thresholds,0
5,StandardFirstFitBinPacker,resnet50-inference-suburb,no_action,1,1,,,0.0,0.0,Within thresholds,0
5,StandardFirstFitBinPacker,resnet50-inference-industrial,no_action,1,1,,,0.0,0.0,Within thresholds,0
5,StandardFirstFitBinPacker,resnet50-inference-residential,no_action,1,1,,,0.0,0.0,Within thresholds,0
5,StandardFirstFitBinPacker,speech-inference,no_action,1,1,,,0.0,0.0,Within thresholds,0
5,StandardFirstFitBinPacker,speech-inference-downtown,no_action,1,1,,,0.0,0.0,Within thresholds,0
5,StandardFirstFitBinPacker,speech-inference-suburb,no_action,1,1,,,0.0,0.0,Within thresholds,0
5,StandardFirstFitBinPacker,speech-inference-industrial,no_action,1,1,,,0.0,0.0,Within thresholds,0
5,StandardFirstFitBinPacker,resnet50-preprocessing,no_action,1,1,,,0.0,0.0,Within thresholds,0
5,StandardFirstFitBinPacker,resnet50-preprocessing-downtown,no_action,1,1,,,0.0,0.0,Within thresholds,0
5,StandardFirstFitBinPacker,resnet50-preprocessing-suburb,no_action,1,1,,,0.0,0.0,Within thresholds,0
5,StandardFirstFitBinPacker,resnet50-preprocessing-industrial,no_action,1,1,,,0.0,0.0,Within thresholds,0
5,StandardFirstFitBinPacker,resnet50-training,no_action,1,1,,,0.0,0.0,Within thresholds,0
5,StandardFirstFitBinPacker,resnet50-training-downtown,no_action,1,1,,,0.0,0.0,Within thresholds,0
10,StandardFirstFitBinPacker,resnet50-inference,no_action,1,1,,,3.8,0.0,Within thresholds,0
10,StandardFirstFitBinPacker,resnet50-inference-downtown,no_action,1,1,,,7.4,0.0,Within thresholds,0
10,StandardFirstFitBinPacker,resnet50-inference-suburb,no_action,1,1,,,2.0,0.0,Within thresholds,0
10,StandardFirstFitBinPacker,resnet50-inference-industrial,no_action,1,1,,,3.4,0.0,Within thresholds,0
10,StandardFirstFitBinPacker,resnet50-inference-residential,no_action,1,1,,,1.4,0.0,Within thresholds,0
10,StandardFirstFitBinPacker,speech-inference,no_action,1,1,,,4.4,0.0,Within thresholds,0
10,StandardFirstFitBinPacker,speech-inference-downtown,no_action,1,1,,,6.2,0.0,Within thresholds,0
10,StandardFirstFitBinPacker,speech-inference-suburb,no_action,1,1,,,3.8,0.0,Within thresholds,0
10,StandardFirstFitBinPacker,speech-inference-industrial,no_action,1,1,,,4.2,0.0,Within thresholds,0
10,StandardFirstFitBinPacker,resnet50-preprocessing,no_action,1,1,,,4.2,0.0,Within thresholds,0
10,StandardFirstFitBinPacker,resnet50-preprocessing-downtown,no_action,1,1,,,4.2,0.0,Within thresholds,0
10,StandardFirstFitBinPacker,resnet50-preprocessing-suburb,no_action,1,1,,,2.6,0.0,Within thresholds,0
10,StandardFirstFitBinPacker,resnet50-preprocessing-industrial,no_action,1,1,,,4.2,0.0,Within thresholds,0
10,StandardFirstFitBinPacker,resnet50-training,no_action,1,1,,,4.4,0.0,Within thresholds,0
10,StandardFirstFitBinPacker,resnet50-training-downtown,no_action,1,1,,,7.8,0.0,Within thresholds,0
15,StandardFirstFitBinPacker,resnet50-inference,no_action,1,1,,,7.2,0.0,Within thresholds,0
15,StandardFirstFitBinPacker,resnet50-inference-downtown,no_action,1,1,,,4.8,0.0,Within thresholds,0
15,StandardFirstFitBinPacker,resnet50-inference-suburb,no_action,1,1,,,3.8,0.0,Within thresholds,0
15,StandardFirstFitBinPacker,resnet50-inference-industrial,no_action,1,1,,,3.6,0.0,Within thresholds,0
15,StandardFirstFitBinPacker,resnet50-inference-residential,no_action,1,1,,,3.0,0.0,Within thresholds,0
15,StandardFirstFitBinPacker,speech-inference,no_action,1,1,,,4.4,0.0,Within thresholds,0
15,StandardFirstFitBinPacker,speech-inference-downtown,no_action,1,1,,,6.2,0.0,Within thresholds,0
15,StandardFirstFitBinPacker,speech-inference-suburb,no_action,1,1,,,3.0,0.0,Within thresholds,0
15,StandardFirstFitBinPacker,speech-inference-industrial,no_action,1,1,,,3.6,0.0,Within thresholds,0
15,StandardFirstFitBinPacker,resnet50-preprocessing,no_action,1,1,,,6.2,0.0,Within thresholds,0
15,StandardFirstFitBinPacker,resnet50-preprocessing-downtown,no_action,1,1,,,6.0,0.0,Within thresholds,0
15,StandardFirstFitBinPacker,resnet50-preprocessing-suburb,no_action,1,1,,,2.6,0.0,Within thresholds,0
15,StandardFirstFitBinPacker,resnet50-preprocessing-industrial,no_action,1,1,,,4.6,0.0,Within thresholds,0
15,StandardFirstFitBinPacker,resnet50-training,no_action,1,1,,,4.4,0.0,Within thresholds,0
15,StandardFirstFitBinPacker,resnet50-training-downtown,no_action,1,1,,,5.0,0.0,Within thresholds,0
20,StandardFirstFitBinPacker,resnet50-inference,no_action,1,1,,,5.0,0.0,Within thresholds,0
