timestamp,strategy,deployment,action,old_replica_count,new_replica_count,selected_node,selected_node_type,current_load_rps,avg_response_time_ms,reason,scaling_direction
5,HighPerformanceShortTimeBinPacker,resnet50-inference,no_action,1,1,,,0.0,0.0,Within thresholds,0
5,HighPerformanceShortTimeBinPacker,resnet50-inference-downtown,scale_up,1,2,nx_10,nx,0.0,0.0,,1
5,HighPerformanceShortTimeBinPacker,resnet50-inference-suburb,no_action,1,1,,,0.0,0.0,Within thresholds,0
5,HighPerformanceShortTimeBinPacker,resnet50-inference-industrial,scale_up,1,2,nx_10,nx,0.0,0.0,,1
5,HighPerformanceShortTimeBinPacker,speech-inference,scale_up,1,2,nx_10,nx,0.0,0.0,,1
5,HighPerformanceShortTimeBinPacker,speech-inference-downtown,scale_up,1,2,nx_10,nx,0.0,0.0,,1
5,HighPerformanceShortTimeBinPacker,speech-inference-suburb,scale_up,1,2,nx_10,nx,0.0,0.0,,1
5,HighPerformanceShortTimeBinPacker,resnet50-preprocessing,scale_up,1,2,nuc_0,nuc,0.0,0.0,,1
5,HighPerformanceShortTimeBinPacker,resnet50-training,scale_up,1,2,nuc_0,nuc,0.0,0.0,,1
5,HighPerformanceShortTimeBinPacker,resnet50-training-downtown,scale_up,1,2,nuc_0,nuc,0.0,0.0,,1
5,HighPerformanceShortTimeBinPacker,python-pi,no_action,1,1,,,0.0,0.0,Within thresholds,0
5,HighPerformanceShortTimeBinPacker,python-pi-downtown,no_action,1,1,,,0.0,0.0,Within thresholds,0
5,HighPerformanceShortTimeBinPacker,python-pi-suburb,no_action,1,1,,,0.0,0.0,Within thresholds,0
5,HighPerformanceShortTimeBinPacker,fio,scale_up,1,2,nuc_0,nuc,0.0,0.0,,1
5,HighPerformanceShortTimeBinPacker,fio-downtown,scale_up,1,2,nuc_0,nuc,0.0,0.0,,1
5,HighPerformanceShortTimeBinPacker,fio-suburb,scale_up,1,2,nuc_0,nuc,0.0,0.0,,1
10,HighPerformanceShortTimeBinPacker,resnet50-inference,no_action,1,1,,,2.4,0.0,Within thresholds,0
10,HighPerformanceShortTimeBinPacker,resnet50-inference-downtown,scale_up,2,3,nx_10,nx,0.0,0.0,,1
10,HighPerformanceShortTimeBinPacker,resnet50-inference-suburb,no_action,1,1,,,3.2,0.0,Within thresholds,0
10,HighPerformanceShortTimeBinPacker,resnet50-inference-industrial,scale_up,2,3,nx_10,nx,0.0,0.0,,1
10,HighPerformanceShortTimeBinPacker,speech-inference,scale_up,2,3,nx_10,nx,0.0,0.0,,1
10,HighPerformanceShortTimeBinPacker,speech-inference-downtown,scale_up,2,3,nx_10,nx,0.0,0.0,,1
10,HighPerformanceShortTimeBinPacker,speech-inference-suburb,scale_up,2,3,nx_10,nx,0.0,0.0,,1
10,HighPerformanceShortTimeBinPacker,resnet50-preprocessing,no_action,2,2,,,3.6,0.0,Within thresholds,0
10,HighPerformanceShortTimeBinPacker,resnet50-training,scale_up,2,3,nuc_0,nuc,0.0,0.0,,1
10,HighPerformanceShortTimeBinPacker,resnet50-training-downtown,scale_up,2,3,nuc_0,nuc,0.0,0.0,,1
10,HighPerformanceShortTimeBinPacker,python-pi,no_action,1,1,,,3.6,0.0,Within thresholds,0
10,HighPerformanceShortTimeBinPacker,python-pi-downtown,no_action,1,1,,,4.4,0.0,Within thresholds,0
10,HighPerformanceShortTimeBinPacker,python-pi-suburb,no_action,1,1,,,4.0,0.0,Within thresholds,0
10,HighPerformanceShortTimeBinPacker,fio,scale_up,2,3,nuc_0,nuc,0.0,0.0,,1
10,HighPerformanceShortTimeBinPacker,fio-downtown,scale_up,2,3,nuc_0,nuc,0.0,0.0,,1
10,HighPerformanceShortTimeBinPacker,fio-suburb,scale_up,2,3,nuc_0,nuc,0.0,0.0,,1
15,HighPerformanceShortTimeBinPacker,resnet50-inference,no_action,1,1,,,3.8,0.0,Within thresholds,0
15,HighPerformanceShortTimeBinPacker,resnet50-inference-downtown,scale_up,3,4,nx_10,nx,0.0,0.0,,1
15,HighPerformanceShortTimeBinPacker,resnet50-inference-suburb,no_action,1,1,,,3.4,0.0,Within thresholds,0
15,HighPerformanceShortTimeBinPacker,resnet50-inference-industrial,scale_up,3,4,nx_10,nx,0.0,0.0,,1
15,HighPerformanceShortTimeBinPacker,speech-inference,scale_up,3,4,nx_10,nx,0.0,0.0,,1
15,HighPerformanceShortTimeBinPacker,speech-inference-downtown,scale_up,3,4,nx_10,nx,0.0,0.0,,1
15,HighPerformanceShortTimeBinPacker,speech-inference-suburb,scale_up,3,4,nx_10,nx,0.0,0.0,,1
15,HighPerformanceShortTimeBinPacker,resnet50-preprocessing,no_action,2,2,,,3.4,0.0,Within thresholds,0
15,HighPerformanceShortTimeBinPacker,resnet50-training,scale_up,3,4,nuc_0,nuc,0.0,0.0,,1
15,HighPerformanceShortTimeBinPacker,resnet50-training-downtown,no_action,3,3,,,4.4,0.0,Within thresholds,0
15,HighPerformanceShortTimeBinPacker,python-pi,no_action,1,1,,,8.0,0.0,Within thresholds,0
15,HighPerformanceShortTimeBinPacker,python-pi-downtown,no_action,1,1,,,5.6,0.0,Within thresholds,0
15,HighPerformanceShortTimeBinPacker,python-pi-suburb,no_action,1,1,,,5.6,0.0,Within thresholds,0
15,HighPerformanceShortTimeBinPacker,fio,scale_up,3,4,nuc_0,nuc,0.0,0.0,,1
15,HighPerformanceShortTimeBinPacker,fio-downtown,scale_up,3,4,nuc_0,nuc,0.0,0.0,,1
15,HighPerformanceShortTimeBinPacker,fio-suburb,scale_up,3,4,nuc_0,nuc,0.0,0.0,,1
20,HighPerformanceShortTimeBinPacker,resnet50-inference,no_action,1,1,,,2.2,0.0,Within thresholds,0
20,HighPerformanceShortTimeBinPacker,resnet50-inference-downtown,scale_up,4,5,nx_10,nx,0.0,0.0,,1
20,HighPerformanceShortTimeBinPacker,resnet50-inference-suburb,no_action,1,1,,,2.6,0.0,Within thresholds,0
20,HighPerformanceShortTimeBinPacker,resnet50-inference-industrial,scale_up,4,5,nx_10,nx,0.0,0.0,,1
20,HighPerformanceShortTimeBinPacker,speech-inference,scale_up,4,5,nx_10,nx,0.0,0.0,,1
20,HighPerformanceShortTimeBinPacker,speech-inference-downtown,scale_up,4,5,nx_10,nx,0.0,0.0,,1
20,HighPerformanceShortTimeBinPacker,speech-inference-suburb,scale_up,4,5,nx_10,nx,0.0,0.0,,1
20,HighPerformanceShortTimeBinPacker,resnet50-preprocessing,no_action,2,2,,,3.0,0.0,Within thresholds,0
20,HighPerformanceShortTimeBinPacker,resnet50-training,scale_up,4,5,nuc_0,nuc,0.0,0.0,,1
20,HighPerformanceShortTimeBinPacker,resnet50-training-downtown,no_action,3,3,,,3.6,0.0,Within thresholds,0
20,HighPerformanceShortTimeBinPacker,python-pi,no_action,1,1,,,5.0,0.0,Within thresholds,0
