timestamp,strategy,deployment,action,old_replica_count,new_replica_count,selected_node,selected_node_type,current_load_rps,avg_response_time_ms,reason,scaling_direction
5,KubernetesStyleFirstFit,resnet50-inference,no_action,1,1,,,0.2,0.0,Within thresholds,0
5,KubernetesStyleFirstFit,resnet50-inference-downtown,no_action,1,1,,,0.4,0.0,Within thresholds,0
5,KubernetesStyleFirstFit,resnet50-inference-suburb,no_action,1,1,,,0.2,0.0,Within thresholds,0
5,KubernetesStyleFirstFit,resnet50-inference-industrial,no_action,1,1,,,0.2,0.0,Within thresholds,0
5,KubernetesStyleFirstFit,speech-inference,no_action,1,1,,,0.2,0.0,Within thresholds,0
5,KubernetesStyleFirstFit,speech-inference-downtown,no_action,1,1,,,0.0,0.0,Within thresholds,0
5,KubernetesStyleFirstFit,speech-inference-suburb,no_action,1,1,,,0.0,0.0,Within thresholds,0
5,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,0.2,0.0,Within thresholds,0
5,KubernetesStyleFirstFit,resnet50-training,no_action,1,1,,,0.4,0.0,Within thresholds,0
5,KubernetesStyleFirstFit,resnet50-training-downtown,no_action,1,1,,,0.8,0.0,Within thresholds,0
5,KubernetesStyleFirstFit,python-pi,no_action,1,1,,,0.2,0.0,Within thresholds,0
5,KubernetesStyleFirstFit,python-pi-downtown,no_action,1,1,,,0.4,0.0,Within thresholds,0
5,KubernetesStyleFirstFit,python-pi-suburb,no_action,1,1,,,0.4,0.0,Within thresholds,0
5,KubernetesStyleFirstFit,fio,no_action,1,1,,,0.4,0.0,Within thresholds,0
5,KubernetesStyleFirstFit,fio-downtown,no_action,1,1,,,0.0,0.0,Within thresholds,0
5,KubernetesStyleFirstFit,fio-suburb,no_action,1,1,,,0.2,0.0,Within thresholds,0
10,KubernetesStyleFirstFit,resnet50-inference,no_action,1,1,,,2.6,0.0,Within thresholds,0
10,KubernetesStyleFirstFit,resnet50-inference-downtown,no_action,1,1,,,4.0,0.0,Within thresholds,0
10,KubernetesStyleFirstFit,resnet50-inference-suburb,no_action,1,1,,,2.4,0.0,Within thresholds,0
10,KubernetesStyleFirstFit,resnet50-inference-industrial,no_action,1,1,,,3.0,0.0,Within thresholds,0
10,KubernetesStyleFirstFit,speech-inference,no_action,1,1,,,1.0,0.0,Within thresholds,0
10,KubernetesStyleFirstFit,speech-inference-downtown,no_action,1,1,,,1.6,0.0,Within thresholds,0
10,KubernetesStyleFirstFit,speech-inference-suburb,no_action,1,1,,,1.2,0.0,Within thresholds,0
10,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,3.0,0.0,Within thresholds,0
10,KubernetesStyleFirstFit,resnet50-training,no_action,1,1,,,4.2,0.0,Within thresholds,0
10,KubernetesStyleFirstFit,resnet50-training-downtown,no_action,1,1,,,3.2,0.0,Within thresholds,0
10,KubernetesStyleFirstFit,python-pi,no_action,1,1,,,5.8,0.0,Within thresholds,0
10,KubernetesStyleFirstFit,python-pi-downtown,no_action,1,1,,,5.2,0.0,Within thresholds,0
10,KubernetesStyleFirstFit,python-pi-suburb,no_action,1,1,,,5.2,0.0,Within thresholds,0
10,KubernetesStyleFirstFit,fio,no_action,1,1,,,6.2,0.0,Within thresholds,0
10,KubernetesStyleFirstFit,fio-downtown,no_action,1,1,,,1.2,0.0,Within thresholds,0
10,KubernetesStyleFirstFit,fio-suburb,no_action,1,1,,,0.6,0.0,Within thresholds,0
15,KubernetesStyleFirstFit,resnet50-inference,no_action,1,1,,,2.8,0.0,Within thresholds,0
15,KubernetesStyleFirstFit,resnet50-inference-downtown,no_action,1,1,,,3.2,0.0,Within thresholds,0
15,KubernetesStyleFirstFit,resnet50-inference-suburb,no_action,1,1,,,3.8,0.0,Within thresholds,0
15,KubernetesStyleFirstFit,resnet50-inference-industrial,no_action,1,1,,,3.4,0.0,Within thresholds,0
15,KubernetesStyleFirstFit,speech-inference,no_action,1,1,,,0.6,0.0,Within thresholds,0
15,KubernetesStyleFirstFit,speech-inference-downtown,no_action,1,1,,,0.6,0.0,Within thresholds,0
15,KubernetesStyleFirstFit,speech-inference-suburb,no_action,1,1,,,0.4,0.0,Within thresholds,0
15,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,2.2,0.0,Within thresholds,0
15,KubernetesStyleFirstFit,resnet50-training,no_action,1,1,,,3.2,0.0,Within thresholds,0
15,KubernetesStyleFirstFit,resnet50-training-downtown,no_action,1,1,,,2.2,0.0,Within thresholds,0
15,KubernetesStyleFirstFit,python-pi,no_action,1,1,,,5.6,0.0,Within thresholds,0
15,KubernetesStyleFirstFit,python-pi-downtown,no_action,1,1,,,4.8,0.0,Within thresholds,0
15,KubernetesStyleFirstFit,python-pi-suburb,no_action,1,1,,,5.2,0.0,Within thresholds,0
15,KubernetesStyleFirstFit,fio,no_action,1,1,,,3.0,0.0,Within thresholds,0
15,KubernetesStyleFirstFit,fio-downtown,no_action,1,1,,,2.0,0.0,Within thresholds,0
15,KubernetesStyleFirstFit,fio-suburb,no_action,1,1,,,1.4,0.0,Within thresholds,0
20,KubernetesStyleFirstFit,resnet50-inference,no_action,1,1,,,3.2,0.0,Within thresholds,0
20,KubernetesStyleFirstFit,resnet50-inference-downtown,no_action,1,1,,,3.0,0.0,Within thresholds,0
20,KubernetesStyleFirstFit,resnet50-inference-suburb,no_action,1,1,,,3.0,0.0,Within thresholds,0
20,KubernetesStyleFirstFit,resnet50-inference-industrial,no_action,1,1,,,2.0,0.0,Within thresholds,0
20,KubernetesStyleFirstFit,speech-inference,no_action,1,1,,,0.4,0.0,Within thresholds,0
20,KubernetesStyleFirstFit,speech-inference-downtown,no_action,1,1,,,0.8,0.0,Within thresholds,0
20,KubernetesStyleFirstFit,speech-inference-suburb,no_action,1,1,,,1.4,0.0,Within thresholds,0
20,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,3.6,0.0,Within thresholds,0
20,KubernetesStyleFirstFit,resnet50-training,no_action,1,1,,,5.0,0.0,Within thresholds,0
20,KubernetesStyleFirstFit,resnet50-training-downtown,no_action,1,1,,,4.6,0.0,Within thresholds,0
20,KubernetesStyleFirstFit,python-pi,no_action,1,1,,,4.6,0.0,Within thresholds,0
20,KubernetesStyleFirstFit,python-pi-downtown,no_action,1,1,,,6.0,0.0,Within thresholds,0
20,KubernetesStyleFirstFit,python-pi-suburb,no_action,1,1,,,4.2,0.0,Within thresholds,0
20,KubernetesStyleFirstFit,fio,no_action,1,1,,,6.8,0.0,Within thresholds,0
20,KubernetesStyleFirstFit,fio-downtown,no_action,1,1,,,1.6,0.0,Within thresholds,0
20,KubernetesStyleFirstFit,fio-suburb,no_action,1,1,,,0.8,0.0,Within thresholds,0
25,KubernetesStyleFirstFit,resnet50-inference,no_action,1,1,,,3.0,0.0,Within thresholds,0
25,KubernetesStyleFirstFit,resnet50-inference-downtown,no_action,1,1,,,1.0,0.0,Within thresholds,0
25,KubernetesStyleFirstFit,resnet50-inference-suburb,no_action,1,1,,,2.8,0.0,Within thresholds,0
25,KubernetesStyleFirstFit,resnet50-inference-industrial,no_action,1,1,,,3.8,0.0,Within thresholds,0
25,KubernetesStyleFirstFit,speech-inference,no_action,1,1,,,0.6,0.0,Within thresholds,0
25,KubernetesStyleFirstFit,speech-inference-downtown,no_action,1,1,,,1.0,0.0,Within thresholds,0
