timestamp,strategy,deployment,current_replicas,current_load_rps,avg_response_time_ms,evaluation_type
5,KubernetesStyleFirstFit,resnet50-inference,1,11.2,876.5516249936617,scaling_check
5,KubernetesStyleFirstFit,speech-inference,1,2.4,0.0,scaling_check
5,KubernetesStyleFirstFit,resnet50-preprocessing,1,0.8,0.0,scaling_check
5,KubernetesStyleFirstFit,resnet50-training,1,6.4,0.0,scaling_check
5,KubernetesStyleFirstFit,python-pi,1,13.6,1297.9757499830039,scaling_check
5,KubernetesStyleFirstFit,fio,1,13.6,0.0,scaling_check
10,KubernetesStyleFirstFit,resnet50-inference,2,24.2,0.0,scaling_check
10,KubernetesStyleFirstFit,speech-inference,1,5.2,0.0,scaling_check
10,KubernetesStyleFirstFit,resnet50-preprocessing,1,1.6,0.0,scaling_check
10,KubernetesStyleFirstFit,resnet50-training,2,13.8,0.0,scaling_check
10,KubernetesStyleFirstFit,python-pi,2,29.6,0.0,scaling_check
10,KubernetesStyleFirstFit,fio,2,29.6,0.0,scaling_check
15,KubernetesStyleFirstFit,resnet50-inference,3,26.6,0.0,scaling_check
15,KubernetesStyleFirstFit,speech-inference,2,5.6,0.0,scaling_check
15,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.0,0.0,scaling_check
15,KubernetesStyleFirstFit,resnet50-training,3,15.2,0.0,scaling_check
15,KubernetesStyleFirstFit,python-pi,3,32.0,0.0,scaling_check
15,KubernetesStyleFirstFit,fio,3,32.0,0.0,scaling_check
20,KubernetesStyleFirstFit,resnet50-inference,4,28.4,0.0,scaling_check
20,KubernetesStyleFirstFit,speech-inference,3,6.0,0.0,scaling_check
20,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.0,0.0,scaling_check
20,KubernetesStyleFirstFit,resnet50-training,4,16.2,0.0,scaling_check
20,KubernetesStyleFirstFit,python-pi,4,34.6,0.0,scaling_check
20,KubernetesStyleFirstFit,fio,4,34.6,0.0,scaling_check
25,KubernetesStyleFirstFit,resnet50-inference,5,30.6,0.0,scaling_check
25,KubernetesStyleFirstFit,speech-inference,4,6.6,0.0,scaling_check
25,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.2,0.0,scaling_check
25,KubernetesStyleFirstFit,resnet50-training,5,17.4,0.0,scaling_check
25,KubernetesStyleFirstFit,python-pi,5,37.2,0.0,scaling_check
25,KubernetesStyleFirstFit,fio,5,37.2,0.0,scaling_check
30,KubernetesStyleFirstFit,resnet50-inference,6,32.4,0.0,scaling_check
30,KubernetesStyleFirstFit,speech-inference,5,7.0,0.0,scaling_check
30,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.2,0.0,scaling_check
30,KubernetesStyleFirstFit,resnet50-training,6,18.6,0.0,scaling_check
30,KubernetesStyleFirstFit,python-pi,6,39.2,0.0,scaling_check
30,KubernetesStyleFirstFit,fio,6,39.2,0.0,scaling_check
35,KubernetesStyleFirstFit,resnet50-inference,7,34.2,0.0,scaling_check
35,KubernetesStyleFirstFit,speech-inference,6,7.2,0.0,scaling_check
35,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.4,0.0,scaling_check
35,KubernetesStyleFirstFit,resnet50-training,7,19.6,0.0,scaling_check
35,KubernetesStyleFirstFit,python-pi,7,41.6,0.0,scaling_check
35,KubernetesStyleFirstFit,fio,7,41.6,0.0,scaling_check
40,KubernetesStyleFirstFit,resnet50-inference,8,35.8,1775.3574764784564,scaling_check
40,KubernetesStyleFirstFit,speech-inference,7,7.8,6291.428880435928,scaling_check
40,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.6,0.0,scaling_check
40,KubernetesStyleFirstFit,resnet50-training,8,20.4,0.0,scaling_check
40,KubernetesStyleFirstFit,python-pi,8,43.6,11918.460816555924,scaling_check
40,KubernetesStyleFirstFit,fio,8,43.6,0.0,scaling_check
45,KubernetesStyleFirstFit,resnet50-inference,9,37.4,0.0,scaling_check
45,KubernetesStyleFirstFit,speech-inference,8,8.0,0.0,scaling_check
45,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.6,0.0,scaling_check
45,KubernetesStyleFirstFit,resnet50-training,9,21.4,0.0,scaling_check
45,KubernetesStyleFirstFit,python-pi,9,45.2,0.0,scaling_check
45,KubernetesStyleFirstFit,fio,9,45.2,0.0,scaling_check
50,KubernetesStyleFirstFit,resnet50-inference,10,38.6,0.0,scaling_check
50,KubernetesStyleFirstFit,speech-inference,9,8.2,0.0,scaling_check
50,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.8,0.0,scaling_check
50,KubernetesStyleFirstFit,resnet50-training,10,22.0,0.0,scaling_check
50,KubernetesStyleFirstFit,python-pi,10,47.0,0.0,scaling_check
50,KubernetesStyleFirstFit,fio,10,47.0,0.0,scaling_check
55,KubernetesStyleFirstFit,resnet50-inference,11,39.6,0.0,scaling_check
55,KubernetesStyleFirstFit,speech-inference,10,8.6,0.0,scaling_check
55,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.8,0.0,scaling_check
55,KubernetesStyleFirstFit,resnet50-training,11,22.6,0.0,scaling_check
55,KubernetesStyleFirstFit,python-pi,11,48.2,0.0,scaling_check
55,KubernetesStyleFirstFit,fio,11,48.2,0.0,scaling_check
60,KubernetesStyleFirstFit,resnet50-inference,12,40.6,0.0,scaling_check
60,KubernetesStyleFirstFit,speech-inference,11,8.6,0.0,scaling_check
60,KubernetesStyleFirstFit,resnet50-preprocessing,1,3.0,0.0,scaling_check
