FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-08-22 11:16:02

Total deployment events: 235
Number of node-function combinations: 48

Event Type Summary:
  Deployment events: 6
  Replica events: 191
  Network events: 38

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | resnet50-inference        | deploy resnet50-inference
t=   0.0s | deployment | global               | speech-inference          | deploy speech-inference
t=   0.0s | deployment | global               | resnet50-preprocessing    | deploy resnet50-preprocessing
t=   0.0s | deployment | global               | resnet50-training         | deploy resnet50-training
t=   0.0s | deployment | global               | python-pi                 | deploy python-pi
t=   0.0s | deployment | global               | fio                       | deploy fio
t=   0.0s | replica    | nx_10                | resnet50-inference        | deploy replica of resnet50-inference
t=   1.0s | replica    | rockpi_30            | speech-inference          | deploy replica of speech-inference
t=   2.0s | replica    | rockpi_30            | resnet50-preprocessing    | deploy replica of resnet50-preprocessing
t=   2.0s | network    | registry → rpi3_3    | unknown                   | docker_pull (19.1 MB)
t=   2.1s | network    | registry → rockpi_8  | unknown                   | docker_pull (59.1 MB)
t=   2.2s | network    | registry → rockpi_30 | unknown                   | docker_pull (38.1 MB)
t=   2.3s | network    | registry → nx_10     | unknown                   | docker_pull (95.4 MB)
t=   2.4s | network    | registry → nano_3    | unknown                   | docker_pull (95.4 MB)
t=   2.5s | network    | rockpi_23 → rockpi_30 | unknown                   | data_download (45.8 MB)
t=   2.6s | network    | rockpi_23 → nx_10    | unknown                   | data_download (98.2 MB)
t=   2.7s | network    | registry → rockpi_30 | unknown                   | docker_pull (182.2 MB)
t=   2.8s | network    | rockpi_23 → nano_3   | unknown                   | data_download (55.3 MB)
t=   2.9s | network    | rockpi_23 → nano_3   | unknown                   | data_download (55.3 MB)
t=   3.0s | replica    | nano_3               | resnet50-training         | deploy replica of resnet50-training
t=   3.0s | network    | rockpi_23 → nano_3   | unknown                   | data_download (55.3 MB)
t=   3.1s | network    | rockpi_23 → nano_3   | unknown                   | data_download (55.3 MB)
